"Story","Title","Result","Date","Stability","Duration (s)"
"Products CRUD test","This will create a new product","SUCCESS","2023-06-05T12:19:38.575+01:00[Europe/London]","0.0","4.6"
"Products CRUD test","Verify if the product was added","SUCCESS","2023-06-05T12:19:43.240+01:00[Europe/London]","0.0","1.2"
"Products CRUD test","This will retrieve product with id","SUCCESS","2023-06-05T12:19:44.442+01:00[Europe/London]","0.0","0.04"
"Products CRUD test","This will update product with id","SUCCESS","2023-06-05T12:19:44.485+01:00[Europe/London]","0.0","0.18"
"Products CRUD test","This will delete product with id","SUCCESS","2023-06-05T12:19:44.671+01:00[Europe/London]","0.0","0.07"
"Stores CRUD test","This will create a new store","SUCCESS","2023-06-05T12:19:46.667+01:00[Europe/London]","0.0","0.07"
"Stores CRUD test","Verify if the store was added","SUCCESS","2023-06-05T12:19:46.742+01:00[Europe/London]","0.0","0.05"
"Stores CRUD test","This will retrieve store with id","SUCCESS","2023-06-05T12:19:46.793+01:00[Europe/London]","0.0","0.02"
"Stores CRUD test","This will update store with id","ERROR","2023-06-05T12:19:46.817+01:00[Europe/London]","0.0","0.13"
"Stores CRUD test","This will delete store with id","SUCCESS","2023-06-05T12:19:47.074+01:00[Europe/London]","0.0","0.1"
